62,4,4,4,"T2MB","Ver3","NED1","C1",,18,4.00000,,,,"20090901","20100630",0.01760,,,"C_FIC",,16777215,16711680,"BfKn",,,,,,,,,,18,0,,,,,400000,4.00000,,,,,0,
62,4,4,0,"T2HB","Ver3","NED1","C1",,18,4.00000,,,,"20090901","20100630",0.01760,,,"C_FIC",,16777215,16711680,"BfKn",,,,,,,,,,18,0,,,,,400000,4.00000,,,,,0,
63,4,4,4,"T2MA","Huy","WISK1","C3",,19,4.00000,,,,"20090901","20100630",0.01760,,,,,0,255,"fKn",,,,,,,,,,19,0,,,,,400000,4.00000,,,,,0,
64,4,4,4,"T2MB","Geen","WISK1","C3",,18,4.00000,,,,"20090901","20100630",0.01760,,,,,0,255,"BfKn",,,,,,,,,,18,0,,,,,400000,4.00000,,,,,0,
64,4,4,0,"T2HB","Geen","WISK1","C3",,18,4.00000,,,,"20090901","20100630",0.01760,,,,,0,255,"BfKn",,,,,,,,,,18,0,,,,,400000,4.00000,,,,,0,
65,2,2,2,"T2MA","Van6","TO1","D102",,19,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"EfKn",,,,1,1,,,,,19,0,,,,,200000,2.00000,,,,,0,
66,2,2,2,"T2MB","Verc","TO1","D102",,18,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"BEfKn",,,,1,1,,,,,18,0,,,,,200000,2.00000,,,,,0,
66,2,2,0,"T2HB","Verc","TO1","D102",,18,2.00000,,,,"20090901","20100630",0.00880,,,,,0,12632256,"BEfKn",,,,1,1,,,,,18,0,,,,,200000,2.00000,,,,,0,
67,3,3,3,"T2MA","Jans","TA-ME","C8",,19,3.00000,,,,"20090901","20100630",0.01320,,,,,0,12632256,"BEfKn",,,,1,1,,,,,19,0,,,,,300000,3.00000,,,,,0,
68,4,4,4,"T2MA","Van6","RT1","B19",,9,4.00000,,,,"20090901","20100630",0.01760,,,,,16777215,128,"fKn",,,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,0,
68,4,0,4,"T2MA","Jans","RT1","B19",,9,4.00000,,,,"20090901","20100630",0.01760,,,,,16777215,128,"fKn",,,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,0,
69,3,3,3,"T2MB","Verc","TA-ME","C8",,12,3.00000,,,,"20090901","20100630",0.01320,,,,,0,12632256,"BEfKn",,,,1,1,,,,,12,0,,,,,300000,3.00000,,,,,0,
70,4,4,4,"T2MB","Verc","RT1","B19",,12,4.00000,,,,"20090901","20100630",0.01760,,,,,16777215,128,"fKn",,,,,,4,,,,12,0,,0,0,,400000,4.00000,,,,,0,
71,1,1,1,"T2MA","VDYG","LLV","C1",,19,1.00000,,,,"20090901","20100630",0.00440,,,,,0,32896,"Bfn",,,,,,,,,,19,0,,,,,100000,1.00000,,,,,0,
73,1,1,1,"T2HA","Vanl","AARD1","A14",,20,1.00000,,,,"20090901","20100630",0.00440,,,,,0,8454143,"fKn",,,,,,,,,,20,0,,,,,100000,1.00000,,,,,0,
74,1,1,1,"T2HA","VGIE","BIO","A15",,20,1.00000,,,,"20090901","20100630",0.00440,,,,,0,65280,"BfKn",,,,,,,,,,20,0,,,,,100000,1.00000,,,,,0,
75,2,2,2,"T2HA","Verr","ENG1","A119",,20,2.00000,,,,"20090901","20100630",0.00880,,,,,16777215,32768,"fKn",,,,,,,,,,20,0,,,,,200000,2.00000,,,,,0,
76,3,3,3,"T2HA","Hor","FRA1","A119",,20,3.00000,,,,"20090901","20100630",0.01320,,,,,16777215,8421376,"BfKn",,,,,,,,,,20,0,,,,,300000,3.00000,,,,,0,
77,2,2,2,"T2HA","Verb","GES1","A118",,20,2.00000,,,,"20090901","20100630",0.00880,,,,,16777215,16512,"BfKn",,,,,,,,,,20,0,,,,,200000,2.00000,,,,,0,
78,2,2,2,"T2HA","Van4","GODS1","C7",,20,2.00000,,,,"20090901","20100630",0.00880,,,,,0,16777088,"fKn",,,,,,,,,,20,0,,,,,200000,2.00000,,,,,0,
79,2,2,2,"T2HA","Teu","LO1","F_LO",,20,2.00000,,,,"20090901","20100630",0.00880,,,,,0,16744576,"fnV",,,,1,1,,,,,20,0,,,,,200000,2.00000,,,,,0,
80,1,1,1,"T2HA","Dom","MO","C2",,20,1.00000,,,,"20090901","20100630",0.00440,,,,,16777215,128,"BfKn",,,,,,,,,,20,0,,,,,100000,1.00000,,,,,0,
